production_type,name,installed_capacity,unit_type
HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,31,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,70,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,HERMILLON,116,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,RANDENS,124,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,SAINT PIERRE COGNET,101,PRODUCTION_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,SAUSSAZ,150,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,AIGLE,360,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,AIGLE 6,146,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE,600,PRODUCTION_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 1,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 2,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 3,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 4,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 5,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BATHIE 6,100,GENERATING_UNIT

HYDRO_WATER_RESERVOIR,BORT,235,PRODUCTION_UNIT

