identifier,start_date,end_date,type,production_type,status,name,installed_capacity,available_capacity,unit_type
EC-EDF-05470-EDF-T-00043676,2020-01-04T00:00:00+01:00,2020-01-05T07:40:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,CIVAUX 1,1495,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043891,2020-01-04T00:00:00+01:00,2020-01-05T18:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,TRICASTIN 4,915,400,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043899,2020-01-07T00:00:00+01:00,2020-01-07T05:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_GAS,ACTIVE,BOUCHAIN 7,585,585,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043913,2020-01-05T07:00:00+01:00,2020-01-05T09:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PALUEL 4,1330,1200,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043914,2020-01-06T01:30:00+01:00,2020-01-06T03:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,CRUAS 3,915,810,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043927,2020-01-05T14:55:00+01:00,2020-01-05T16:30:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,GRAVELINES 3,910,700,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043934,2020-01-06T00:22:00+01:00,2020-01-06T09:15:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_OIL,INACTIVE,MONTEREAU 6,185,169,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043935,2020-01-06T00:43:00+01:00,2020-01-09T23:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,BLAYAIS 4,910,790,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043936,2020-01-06T00:35:00+01:00,2020-01-06T10:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,CORDEMAIS 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043937,2020-01-06T03:00:00+01:00,2020-02-09T00:37:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,NOGENT 2,1310,1050,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043939,2020-01-06T05:20:00+01:00,2020-01-06T09:40:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,INACTIVE,MARTIGUES PONTEAU 6,465,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043942,2020-01-06T07:30:00+01:00,2020-01-07T17:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_OIL,ACTIVE,DIRINON 1,85,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043943,2020-01-06T12:00:00+01:00,2020-01-10T00:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PENLY 2,1330,1010,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043945,2020-01-06T07:00:00+01:00,2020-01-06T12:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,HAVRE 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043958,2020-01-07T02:10:00+01:00,2020-01-08T05:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,TRICASTIN 1,915,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043961,2020-01-08T01:30:00+01:00,2020-01-08T04:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,GRAVELINES 3,910,440,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043976,2020-01-08T00:29:00+01:00,2020-01-09T21:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,HAVRE 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043979,2020-01-08T05:30:00+01:00,2020-01-13T15:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,TRICASTIN 1,915,790,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043984,2020-01-08T07:36:00+01:00,2020-01-09T21:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,CORDEMAIS 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043987,2020-01-08T09:42:00+01:00,2020-01-08T18:30:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,PALUEL 3,1330,560,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043989,2020-01-08T11:16:00+01:00,2020-01-14T15:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,PALUEL 1,1330,1166,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043994,2020-01-08T14:30:00+01:00,2020-01-08T18:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,ST ALBAN 1,1335,730,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044003,2020-01-08T21:00:00+01:00,2020-01-10T07:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,BLENOD 5,427,180,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044004,2020-01-08T21:20:00+01:00,2020-01-09T15:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,INACTIVE,CATTENOM 3,1300,850,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044005,2020-01-08T21:30:00+01:00,2020-01-09T18:05:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,INACTIVE,MARTIGUES PONTEAU 6,465,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044008,2020-01-08T21:44:00+01:00,2020-01-11T21:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,ST ALBAN 2,1335,300,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044009,2020-01-08T21:53:00+01:00,2020-01-10T20:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,INACTIVE,GRAVELINES 1,910,185,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044010,2020-01-08T21:53:00+01:00,2020-01-09T21:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PENLY 1,1330,950,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044011,2020-01-08T22:02:00+01:00,2020-01-10T19:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,INACTIVE,GRAVELINES 3,910,250,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044012,2020-01-08T22:09:00+01:00,2020-01-11T07:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PALUEL 3,1330,700,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044013,2020-01-08T22:10:00+01:00,2020-01-10T21:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,ST LAURENT 1,915,360,GENERATING_UNIT
EC-EDF-05470-EDF-T-00044014,2020-01-08T22:13:00+01:00,2020-01-09T21:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,BLAYAIS 3,910,250,GENERATING_UNIT
EC-GDFS-1cedcdf29f8394fb1872,2020-01-05T06:00:00+01:00,2020-01-05T10:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_GAS,ACTIVE,SPEM CCG,435,0,GENERATING_UNIT
EC-UFP-A80-20200106171130,2020-01-06T14:00:00+01:00,2020-03-17T00:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,PROVENCE 5,595,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058995,2020-01-10T07:30:00+01:00,2020-01-10T17:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,ACTIVE,GRAND MAISON 9,157,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059058,2020-01-10T01:24:00+01:00,2020-01-15T20:00:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,MONTEZIC 1,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059059,2020-01-10T02:07:00+01:00,2020-01-10T17:00:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,ACTIVE,MONTEZIC 2,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059060,2020-01-10T01:57:00+01:00,2020-01-10T17:00:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,ACTIVE,MONTEZIC 3,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059061,2020-01-10T02:08:00+01:00,2020-01-10T05:02:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 3,152,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059066,2020-01-10T06:07:00+01:00,2020-01-10T17:58:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 3,152,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059074,2020-01-10T01:00:00+01:00,2020-01-15T17:30:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,MONTEZIC,910,0,PRODUCTION_UNIT
EC-EDF-05470-EDF-H-00059075,2020-01-10T12:41:00+01:00,2020-01-10T17:51:00+01:00,FORCED_UNAVAILABILITY,HYDRO_WATER_RESERVOIR,INACTIVE,BATHIE 2,100,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059083,2020-01-10T19:11:00+01:00,2020-01-12T12:00:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 3,152,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059090,2020-01-13T05:05:00+01:00,2020-01-17T15:00:00+01:00,FORCED_UNAVAILABILITY,HYDRO_WATER_RESERVOIR,INACTIVE,AIGLE 6,146,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043565,2020-01-12T07:30:00+01:00,2020-01-12T14:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PENLY 1,1330,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043685,2020-01-13T07:30:00+01:00,2020-01-13T11:15:00+01:00,PLANNED_MAINTENANCE,FOSSIL_GAS,ACTIVE,MARTIGUES PONTEAU 5,465,465,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043990,2020-01-10T15:00:00+01:00,2020-01-10T18:25:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,PALUEL 4,1330,1200,GENERATING_UNIT
